Cod. Cliente;Data da Resposta;Nota NPS;Nota Agilidade;Nota Conhecimento;Nota Custo;Nota Facilidade;Nota Flexibilidade
TFEBMS;2024-10-01;10;8;8;8;9;10
TFDVIA;2024-10-01;9;8;10;8;7;8
TFDVQU;2024-09-17;10;;;;;
TFDVK7;2024-09-17;8;;;;;
TFDVMR;2024-09-10;8;10;10;9;8;10
2,99983E+13;2024-09-03;10;10;10;8;10;10
TFDVDY;2024-09-03;10;;;;;
TFDVH2;2024-08-27;9;10;10;10;10;10
TFDV23;2024-08-20;10;10;10;10;10;10
TFDVEU;2024-08-20;10;;;;;
TFDV94;2024-08-15;10;10;10;10;10;10
TFDVBO;2024-08-13;6;5;6;7;7;7
TFDV29;2024-08-09;9;9;10;9;9;9
TFDUXO;2024-08-07;9;9;9;6;9;10
TFDVAJ;2024-08-06;10;10;10;10;10;10
TFDVBE;2024-08-06;10;;;;;
TFDVAU;2024-08-06;10;10;10;8;10;10
TFDV35;2024-08-06;10;9;10;8;10;9
TFDV26;2024-08-06;10;;;;;
6,33054E+12;2024-07-30;2;2;6;7;7;8
TFDUTD;2024-07-23;10;;;;;
TFDJIU;2024-07-11;3;;;;;
TFDUR5;2024-07-11;10;8;9;8;7;10
TFDSRF;2024-07-11;10;;;;;
TFDUE9;2024-06-18;0;;;;;
TFDTJH;2024-06-18;8;;;;;
TFDTZ5;2024-06-05;10;10;10;10;9;10
TFDUD1;2024-06-05;10;;;;;
TFDU84;2024-06-05;10;10;10;9;10;8
TFDU93;2024-06-04;10;9;10;8;8;10
TFDUCT;2024-06-04;10;;;;;
TFDTMG;2024-06-04;10;10;10;10;10;10
TFDU41;2024-05-28;10;10;10;10;10;10
3,38598E+13;2024-05-28;7;;;;;
TFDTLN;2024-05-28;8;;;;;
TFDTMR;2024-05-21;10;;;;;
1874447900;2024-05-16;10;10;10;10;10;10
TFDRQF;2024-05-15;8;;;;;
TFDSP0;2024-05-14;10;10;10;10;10;9
TFDTUG;2024-05-14;10;8;9;8;7;10
TFDSQQ;2024-05-13;2;;;;;
TFDTRM;2024-05-08;7;;;;;
TFDTNA;2024-05-07;10;;;;;
TFDSKZ;2024-05-07;5;;;;;
TFDTPY;2024-05-07;10;;;;;
TFDSE9;2024-05-07;3;;;;;
TFDTMX;2024-05-07;9;;;;;
TFDSRV;2024-05-02;0;;;;;
TFDSS1;2024-05-01;10;;;;;
TFDTMN;2024-05-01;9;;;;;
TFDTNY;2024-04-30;10;;;;;
TFDTOD;2024-04-30;10;10;9;10;10;10
TFDTND;2024-04-30;6;;;;;
TFDSP0;2024-04-30;10;;;;;
TFDTK4;2024-04-30;10;10;10;5;10;10
3,62521E+13;2024-04-28;0;;;;;
TFDTK4;2024-04-26;0;0;0;0;0;0
TFDSNK;2024-04-23;7;7;7;7;7;7
TFDTJW;2024-04-23;10;;;;;
TFDSJ2;2024-04-21;2;;;;;
TFDSKV;2024-04-18;9;8;10;9;9;9
TFDSS4;2024-04-17;10;10;10;10;10;10
TFDSBL;2024-04-16;10;10;10;10;10;10
TFDSJ3;2024-04-16;10;0;10;10;10;10
TFDSLI;2024-04-16;8;;;;;
TFDSP1;2024-04-16;10;10;10;10;10;10
TFDSJB;2024-04-16;9;;;;;
TFDSRT;2024-04-16;3;3;3;7;5;5
TFDSSF;2024-04-16;10;;;;;
66076323191;2024-04-16;6;5;8;8;6;8
TFDGM1;2024-04-16;5;;;;;
TFDSKO;2024-04-16;10;;;;;
TFDSRH;2024-04-11;10;5;9;7;7;6
TFDSFU;2024-04-09;9;;;;;
TFDSF6;2024-04-09;7;;;;;
TFDSQY;2024-04-09;10;9;9;10;9;10
TEZLNS;2024-04-09;9;9;9;9;9;9
TFDSKV;2024-04-09;0;0;0;0;0;0
TFDSJR;2024-04-05;10;;;;;
TDC9UW;2024-04-04;5;5;8;10;8;10
TFDSJO;2024-04-04;10;9;10;10;10;10
TFDSD6;2024-04-04;10;10;10;8;10;8
TFDSLV;2024-04-03;8;9;9;9;9;9
TFDSM8;2024-04-02;5;10;10;6;6;5
TFDSJI;2024-04-02;10;;;;;
TFCXP8;2024-04-02;8;;;;;
TFDSEB;2024-04-02;10;10;10;10;10;10
TFDSNA;2024-04-02;1;1;1;3;1;1
TFDSKR;2024-04-02;1;0;9;2;0;1
TFDSCV;2024-04-02;3;;;;;
TFDSLS;2024-04-02;10;;;;;
TFDSE5;2024-04-02;10;10;10;10;10;10
TFDSH1;2024-04-02;10;;;;;
TFDSKU;2024-04-02;10;;;;;
TFDSCP;2024-04-02;10;;;;;
TFDS87;2024-04-02;10;;;;;
TFDRZ0;2024-04-02;1;;;;;
TFDSHL;2024-03-26;9;;;;;
TFDS76;2024-03-26;10;;;;;
TFDRYA;2024-03-26;6;8;5;6;7;7
TFDSF5;2024-03-26;5;;;;;
TFDS02;2024-03-26;10;10;10;8;10;10
TFDSGO;2024-03-26;6;7;5;0;5;2
TFDSGK;2024-03-26;10;10;9;7;8;10
TFDRZD;2024-03-26;9;9;9;9;9;9
TFDSET;2024-03-20;0;0;0;0;0;0
TFDRXS;2024-03-19;10;10;10;10;10;10
TFDSA0;2024-03-19;5;;;;;
TFDRXC;2024-03-19;10;10;10;10;10;10
TFDSA9;2024-03-15;9;;;;;
TFDRQ0;2024-03-14;1;1;1;1;1;1
TFDRXL;2024-03-12;10;10;10;10;10;10
TFDSBL;2024-03-12;10;9;10;10;10;10
TFDRQB;2024-03-12;2;;;;;
TFDS37;2024-03-12;10;;;;;
1,08923E+12;2024-03-07;10;;;;;
1,14606E+13;2024-03-06;10;;;;;
TFDRXI;2024-03-06;2;1;1;3;1;1
TFDSA1;2024-03-05;10;10;10;10;10;10
5165560619;2024-03-05;0;;;;;
TFDRXL;2024-03-05;10;10;10;6;8;6
TFDS22;2024-03-05;10;10;10;9;10;10
TFDS29;2024-03-05;10;10;10;7;3;7
TFDS97;2024-03-05;10;10;10;9;9;10
28837550006;2024-03-05;9;;;;;
TFDS02;2024-03-05;10;10;10;9;10;9
TFDS24;2024-03-05;10;10;10;10;8;10
TFDRXO;2024-03-05;5;;;;;
TFDRSV;2024-03-05;7;;;;;
TFDRRC;2024-03-05;3;3;7;7;5;7
TFDRUW;2024-03-05;8;;;;;
TFDRSV;2024-03-05;10;;;;;
TFDRQH;2024-03-05;0;0;0;0;0;0
TEZNSF;2024-03-05;6;;;;;
