Data de resposta;Cod Cliente;Em uma escala de 0 a 10, quanto voce recomenda o Onboarding da TOTVS para um amigo ou colega?;Em uma escala de 0 a 10, o quanto voce acredita que o atendimento CS Onboarding ajudou no inicio da sua trajetoria com a TOTVS?;Duracao do tempo na realizacao da reuniao de Onboarding;Clareza no acesso aos canais de comunicacao da TOTVS;Clareza nas informacoes em geral transmitidas pelo CS que lhe atendeu no Onboarding;Expectativas atendidas no Onboarding da TOTVS
2024-12-26T14:02:06+00:00;TFECWD;10;10;10;10;10;10
2024-12-24T09:40:46+00:00;TFECUT;6;1;1;2;3;0
2024-12-23T14:03:03+00:00;TFECQ6;10;10;10;10;10;10
2024-12-19T14:44:10+00:00;TFECX6;10;10;10;10;10;10
2024-12-19T12:28:42+00:00;TFECH1;10;10;10;10;10;10
2024-12-19T11:23:20+00:00;TFEDA5;10;10;10;10;10;10
2024-12-19T07:21:13+00:00;TFECWO;8;;;;;
2024-12-18T14:41:32+00:00;TFECWX;10;10;10;10;10;10
2024-12-18T12:11:42+00:00;TFECVA;10;10;10;10;10;10
2024-12-18T09:48:12+00:00;TFECTJ;10;8;10;10;10;10
2024-12-18T08:09:16+00:00;TFECXK;9;9;7;8;8;7
2024-12-17T08:41:41+00:00;TFEC33;4;;;;;
2024-12-16T14:56:49+00:00;TFECUA;9;9;9;9;9;9
2024-12-13T13:26:05+00:00;TFEBWE;10;10;10;10;10;10
2024-11-29T14:49:09+00:00;TFECIP;10;9;10;10;10;10
2024-11-28T14:34:32+00:00;;5;5;5;5;5;5
2024-11-27T11:13:08+00:00;T60330;10;;;;;
2024-11-26T16:21:22+00:00;TFEBFF;10;;;;;
2024-11-22T15:24:47+00:00;TFEC51;10;10;10;10;10;10
2024-11-18T14:52:57+00:00;TFEBO8;10;10;10;9;10;10
2024-11-12T14:54:02+00:00;TFEBL9;8;8;10;10;10;10
2024-11-12T09:59:40+00:00;TFEBSJ;10;10;10;10;10;10
2024-11-12T08:57:21+00:00;TFDVU4;10;9;9;9;9;9
2024-11-08T10:53:35+00:00;TFEBPO;9;9;8;8;8;8
2024-11-01T11:04:22+00:00;TFEBMF;10;10;10;10;10;10
2024-10-31T05:04:51+00:00;TFDVTF;10;;;;;
2024-10-29T08:29:04+00:00;TFEBLG;10;10;10;10;10;10
2024-10-24T14:45:23+00:00;TFEBOL;10;10;10;10;10;10
2024-10-23T16:54:53+00:00;TFEBNN;10;10;10;10;10;10
2024-10-23T07:25:40+00:00;TFDVS2;10;10;10;10;10;10
2024-10-18T15:44:26+00:00;TFEBPB;10;10;10;10;10;10
2024-10-17T11:40:10+00:00;TFDUQO;10;10;10;10;10;10
2024-10-15T15:27:35+00:00;TFDVM0;10;10;10;10;10;10
2024-10-10T09:53:49+00:00;TFDVNY;9;;;;;
2024-10-07T16:55:01+00:00;TFDVKP;9;;;;;
2024-10-07T11:41:01+00:00;TFDVE2;10;;;;;
2024-10-07T11:08:19+00:00;TFDVRL;10;10;10;10;10;10
2024-10-07T10:55:17+00:00;TFDVLQ;9;9;8;9;9;8
2024-10-04T17:12:07+00:00;TFBZYE;10;;;;;
2024-10-01T15:53:08+00:00;TFDVKJ;10;10;10;10;10;10
2024-09-18T14:41:21+00:00;TFDVFU;10;10;10;10;10;10
2024-09-18T11:19:05+00:00;TFDVL4;6;6;;;;
2024-09-17T11:17:09+00:00;TFDVL9;10;10;10;10;10;10
2024-09-10T10:05:08+00:00;TFDV35;10;9;9;10;10;9
2024-08-27T08:04:00+00:00;TFDVAJ;10;10;10;10;10;10
2024-08-23T15:13:42+00:00;TFDV75;10;10;10;10;10;10
2024-08-22T13:47:27+00:00;TFDUP1;8;;;;;
2024-08-22T11:41:21+00:00;TFDUMB;7;10;10;10;10;8
2024-08-22T10:02:12+00:00;TB1265;10;10;;;;
2024-08-21T12:47:22+00:00;TFDVD9;10;10;10;10;10;10
2024-08-16T15:20:05+00:00;TFDUWY;10;9;10;10;10;10
2024-08-14T11:29:33+00:00;TFDUVT;10;9;10;10;10;10
2024-08-14T11:21:05+00:00;TFDUJD;10;10;10;10;10;10
2024-08-14T10:10:56+00:00;TFDVA4;9;7;5;7;8;7
2024-08-13T10:02:37+00:00;TFDUPY;10;10;10;10;10;10
2024-08-13T08:36:48+00:00;TFDUTG;10;10;10;10;10;10
2024-08-12T22:33:40+00:00;TFDV08;9;9;9;9;9;9
2024-08-09T18:17:47+00:00;TFDDSB;10;10;10;10;10;10
2024-08-09T14:00:22+00:00;TFDUX4;10;10;10;10;10;10
2024-08-08T15:51:11+00:00;TFDUL9;10;;;;;
2024-08-08T09:19:26+00:00;TFDUUJ;9;;;;;
2024-08-07T16:03:39+00:00;TFDUOH;10;10;10;10;10;10
2024-07-31T16:10:01+00:00;TFDUPW;9;10;9;8;10;9
2024-07-29T16:59:34+00:00;TFDUOF;10;10;10;10;10;10
2024-07-23T08:02:45+00:00;TFDUNI;8;7;7;7;7;7
2024-07-22T14:34:27+00:00;TFDUGN;8;7;7;8;7;8
2024-07-19T16:27:31+00:00;TFDUOD;10;7;9;5;9;6
2024-07-18T20:40:59+00:00;TFDUQI;9;;;;;
2024-07-15T07:25:00+00:00;TFDUJW;9;10;;;;
2024-07-12T17:18:09+00:00;TFBONP;10;10;9;10;10;10
2024-07-12T16:01:43+00:00;TFDUKK;10;10;10;10;10;10
2024-07-09T12:19:04+00:00;TFDU10;10;10;10;10;10;10
2024-06-26T16:47:11+00:00;TFDTRQ;0;0;0;0;3;0
2024-06-26T15:10:17+00:00;TFDTKO;9;10;8;10;10;10
2024-06-20T11:10:33+00:00;TFDTVH;10;10;10;10;10;10
2024-06-19T23:25:40+00:00;TFDTR5;10;;;;;
2024-06-19T21:17:37+00:00;TFDTKU;10;10;;;;
2024-06-19T16:34:47+00:00;TFDTZU;10;10;10;10;10;10
2024-06-19T16:08:32+00:00;TFDU84;10;;;;;
2024-06-19T13:45:12+00:00;TFDTL6;10;10;10;10;10;10
2024-06-19T08:48:15+00:00;TFDTSB;10;10;;;;
2024-06-18T16:08:21+00:00;TFDTLN;8;7;8;8;8;8
2024-06-11T17:24:26+00:00;TFDTR7;9;9;9;9;9;8
2024-06-04T10:28:19+00:00;T37501;10;10;10;10;10;10
2024-05-31T14:23:21+00:00;TFDTKR;10;10;8;9;9;10
2024-05-29T14:04:54+00:00;TFDTQ4;8;8;8;8;8;8
2024-05-27T11:38:55+00:00;TFDTPY;10;;;;;
2024-05-24T11:43:14+00:00;TFDTS1;9;9;9;8;10;9
2024-05-22T16:59:12+00:00;TFDTRJ;10;10;10;10;10;10
2024-05-20T10:32:17+00:00;TFDTPF;10;10;;;;
2024-05-14T11:55:49+00:00;TFDTLO;8;8;9;2;9;9
2024-05-14T09:49:44+00:00;TFDTLJ;10;10;10;10;10;10
2024-05-10T08:48:25+00:00;TFDSJR;10;10;8;9;9;10
2024-05-07T12:40:35+00:00;TFDSMM;5;5;5;5;5;5
2024-05-07T08:55:29+00:00;TFDSMO;8;8;6;6;6;6
2024-04-26T17:48:23+00:00;TFDSLS;8;7;8;7;7;7
2024-04-26T10:00:43+00:00;TFDSN7;10;8;10;7;9;10
2024-04-25T08:56:12+00:00;TFDSNJ;6;;;;;
2024-04-15T20:49:46+00:00;TFDSIP;8;7;9;7;9;9
2024-04-09T18:47:49+00:00;TFDSA2;10;10;10;10;10;10
2024-04-03T15:01:07+00:00;TFDSDO;10;10;10;10;10;10
2024-04-03T10:44:29+00:00;TFDRWR;5;;;;;
2024-03-28T15:00:26+00:00;TFDS37;10;10;;;;
2024-03-22T10:28:06+00:00;TFDS21;10;10;;;;
2024-03-19T11:22:13+00:00;TFDSBK;10;10;;;;
2024-03-19T08:50:07+00:00;TFDRZR;10;10;;;;
2024-03-14T10:56:18+00:00;TFDRTX;10;10;;;;
2024-03-14T10:20:18+00:00;TFDRR3;10;10;;;;
2024-03-13T16:11:04+00:00;TFDS02;10;10;;;;
2024-03-11T15:29:15+00:00;TFDRQA;5;;;;;
2024-03-06T21:39:54+00:00;TFDRS4;8;8;;;;
2024-03-01T16:30:15+00:00;TFDRTB;10;10;;;;
2024-02-29T10:48:53+00:00;TFDRSV;8;;;;;
2024-02-26T15:48:09+00:00;TFDRQR;10;10;;;;
2024-02-26T10:35:30+00:00;TFDRP3;10;10;;;;
2024-02-23T09:07:06+00:00;TFDROS;9;10;;;;
2024-02-21T09:53:01+00:00;TFDRFY;9;9;;;;
2024-02-20T16:20:06+00:00;TFDRLR;8;8;;;;
2024-02-20T09:10:44+00:00;TFDRBY;10;10;;;;
2024-02-15T15:12:25+00:00;TFDRL8;10;10;;;;
2024-02-15T14:14:28+00:00;TFDRHY;0;1;;;;
2024-02-05T13:28:06+00:00;TFDRLE;7;7;;;;
2024-01-30T14:19:01+00:00;TFDRI3;10;10;;;;
2024-01-30T10:06:47+00:00;TFDRCK;10;10;;;;
2024-01-30T09:39:33+00:00;TFDRB9;10;10;;;;
2024-01-24T15:53:13+00:00;TFDRFD;10;10;;;;
2024-01-23T10:31:19+00:00;TFDQUQ;0;;;;;
2024-01-17T10:04:50+00:00;TFDRDS;6;6;;;;
2024-01-16T15:15:46+00:00;TFDRCI;8;9;;;;
2024-01-16T11:48:40+00:00;TFDRAT;8;8;;;;
2024-01-16T08:57:15+00:00;TFDQVF;10;;;;;
2024-01-16T08:27:14+00:00;TFDRCO;10;10;;;;
2023-12-26T11:24:08+00:00;TFDQVM;2;2;;;;
2023-12-21T10:38:31+00:00;TFDQW5;10;10;;;;
2023-12-20T14:20:27+00:00;TFDQU8;10;10;;;;
2023-12-19T11:27:50+00:00;TFDQX3;10;10;;;;
2023-12-19T09:10:23+00:00;TFDQDP;10;10;;;;
2023-12-19T09:00:07+00:00;TFDQP9;8;8;;;;
2023-12-19T08:10:41+00:00;TFDQPK;7;7;;;;
2023-12-19T08:10:02+00:00;TFDNIB;0;0;;;;
2023-12-18T17:14:52+00:00;TFDQU9;0;0;;;;
2023-12-14T10:13:56+00:00;TFDQMS;10;10;;;;
2023-12-12T16:06:46+00:00;T43739;10;10;;;;
2023-12-12T09:26:35+00:00;TFDQCB;10;10;;;;
2023-12-12T08:58:44+00:00;TFDQH5;5;;;;;
2023-12-12T08:58:20+00:00;TFDQHI;9;;;;;
2023-12-11T11:08:17+00:00;TFDQNU;10;10;;;;
2023-11-27T11:40:32+00:00;TFDQIQ;9;9;;;;
2023-11-24T04:52:19+00:00;TFDQIG;10;10;;;;
2023-11-21T14:45:54+00:00;TFDQH4;10;10;;;;
2023-11-14T18:48:49+00:00;TFDQA5;7;10;;;;
2023-11-08T08:02:40+00:00;TFDQ49;9;;;;;
